Date,Value
2001-01,657.14
2001-02,653.59
2001-03,655.14
2001-04,652.44
2001-05,652.28
2001-06,656.81
2001-07,656.43
2001-08,659.47
2001-09,659.9
2001-10,660.91
2001-11,659.72
2001-12,660.4
2002-01,663.15
2002-02,659.88
2002-03,667.23
2002-04,672.2
2002-05,671.5
2002-06,670.39
2002-07,676.83
2002-08,672.19
2002-09,674.01
2002-10,679.38
2002-11,680.49
2002-12,685.25
2003-01,680.53
2003-02,686.99
2003-03,682.45
2003-04,685.87
2003-05,684.9
2003-06,691.56
2003-07,690.92
2003-08,694.31
2003-09,697.41
2003-10,697.03
2003-11,700.4
2003-12,698.62
2004-01,702.03
2004-02,701.62
2004-03,705.31
2004-04,704.2
2004-05,710.09
2004-06,705.87
2004-07,708.8
2004-08,711.52
2004-09,710.47
2004-10,712.26
2004-11,717.19
2004-12,719.61
2005-01,725.39
2005-02,731.84
2005-03,725.45
2005-04,728.74
2005-05,733.13
2005-06,735.61
2005-07,735.92
2005-08,741.47
2005-09,749.39
2005-10,745.57
2005-11,744.8
2005-12,743.89
2006-01,745.72
2006-02,745.57
2006-03,748.33
2006-04,750.54
2006-05,751.0
2006-06,751.81
2006-07,754.53
2006-08,758.86
2006-09,756.5
2006-10,762.11
2006-11,760.86
2006-12,772.55
2007-01,773.79
2007-02,770.98
2007-03,780.66
2007-04,781.51
2007-05,785.97
2007-06,790.69
2007-07,791.74
2007-08,789.25
2007-09,790.64
2007-10,793.85
2007-11,799.47
2007-12,798.3
2008-01,797.95
2008-02,803.4
2008-03,805.19
2008-04,808.86
2008-05,808.49
2008-06,809.43
2008-07,810.91
2008-08,811.54
2008-09,813.31
2008-10,817.91
2008-11,818.51
2008-12,813.15
2009-01,815.84
2009-02,818.47
2009-03,819.9
2009-04,817.54
2009-05,818.03
2009-06,821.16
2009-07,822.17
2009-08,821.77
2009-09,826.91
2009-10,825.25
2009-11,828.01
2009-12,832.92
2010-01,834.25
2010-02,841.39
2010-03,841.9
2010-04,845.63
2010-05,846.94
2010-06,850.19
2010-07,853.46
2010-08,858.5
2010-09,864.29
2010-10,859.99
2010-11,863.71
2010-12,866.26
2011-01,872.64
2011-02,870.81
2011-03,870.32
2011-04,870.09
2011-05,871.42
2011-06,870.3
2011-07,868.77
2011-08,872.63
2011-09,872.28
2011-10,881.79
2011-11,880.31
2011-12,880.94
2012-01,884.91
2012-02,881.06
2012-03,887.01
2012-04,889.63
2012-05,889.93
2012-06,893.74
2012-07,900.48
2012-08,904.09
2012-09,902.38
2012-10,902.88
2012-11,903.82
2012-12,903.22
2013-01,900.71
2013-02,905.29
2013-03,903.02
2013-04,904.54
2013-05,912.92
2013-06,910.39
2013-07,909.56
2013-08,911.4
2013-09,912.74
2013-10,916.5
2013-11,923.0
2013-12,924.35
2014-01,923.34
2014-02,926.58
2014-03,926.82
2014-04,931.54
2014-05,935.8
2014-06,936.72
2014-07,942.44
2014-08,940.2
2014-09,940.26
2014-10,941.93
2014-11,938.78
2014-12,939.82
2015-01,948.62
2015-02,949.67
2015-03,951.64
2015-04,954.18
2015-05,948.15
2015-06,953.17
2015-07,957.1
2015-08,945.19
2015-09,954.12
2015-10,955.5
2015-11,951.5
2015-12,954.61
2016-01,949.91
2016-02,954.03
2016-03,955.68
2016-04,953.03
2016-05,954.2
2016-06,956.86
2016-07,957.06
2016-08,958.9
2016-09,955.84
2016-10,955.16
2016-11,960.07
2016-12,967.96
2017-01,967.03
2017-02,964.46
2017-03,966.84
2017-04,971.1
2017-05,969.15
2017-06,971.93
2017-07,969.84
2017-08,976.99
2017-09,986.04
2017-10,983.7
2017-11,991.21
2017-12,991.87
2018-01,991.76
2018-02,998.86
2018-03,997.92
2018-04,993.21
2018-05,993.28
2018-06,1001.97
2018-07,1000.02
2018-08,1005.9
2018-09,1001.1
2018-10,1007.76
2018-11,1011.8
2018-12,1009.65
2019-01,1009.58
2019-02,1009.54
2019-03,1014.58
2019-04,1017.32
2019-05,1028.61
2019-06,1022.33
2019-07,1028.0
2019-08,1032.0
2019-09,1039.33
2019-10,1046.72
2019-11,1043.26
2019-12,1046.37
2020-01,1046.73
2020-02,1045.52
2020-03,1046.41
2020-04,1112.71
2020-05,1132.41
2020-06,1117.03
2020-07,1112.48
2020-08,1108.83
2020-09,1108.18
2020-10,1108.19
2020-11,1113.59
2020-12,1120.03
2021-01,1129.41
2021-02,1134.17
2021-03,1117.87
2021-04,1123.08
2021-05,1128.26
2021-06,1122.11
2021-07,1128.57
2021-08,1132.48
2021-09,1135.56
2021-10,1134.51
2021-11,1133.6
2021-12,1142.05
2022-01,1150.95
2022-02,1158.96
2022-03,1165.84
2022-04,1159.66
2022-05,1157.75
2022-06,1161.59
2022-07,1162.77
2022-08,1167.55
2022-09,1170.8
2022-10,1174.08
2022-11,1178.34
2022-12,1174.34
2023-01,1182.17
2023-02,1179.06
2023-03,1185.85
2023-04,1196.08
2023-05,1201.0
2023-06,1204.74
2023-07,1213.21
2023-08,1214.31
2023-09,1217.47
2023-10,1220.31
2023-11,1224.38
2023-12,1219.9
